StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,IC,gender,age,edu1,attention1,interest,TV,news,vote,LRself,RFself,PSself,GRself,LOself,LRparty_1,LRparty_2,LRparty_3,LRparty_4,LRparty_5,LRparty_6,LRparty_7,LRparty_25,LRparty_26,LRtime_First Click,LRtime_Last Click,LRtime_Page Submit,LRtime_Click Count,RFparty_1,RFparty_2,RFparty_3,RFparty_4,RFparty_5,RFparty_6,RFparty_7,RFparty_8,RFparty_9,RFtime_First Click,RFtime_Last Click,RFtime_Page Submit,RFtime_Click Count,PSparty_1,PSparty_2,PSparty_3,PSparty_4,PSparty_5,PSparty_6,PSparty_7,PSparty_8,PSparty_9,PStime_First Click,PStime_Last Click,PStime_Page Submit,PStime_Click Count,GRparty_1,GRparty_2,GRparty_3,GRparty_4,GRparty_5,GRparty_6,GRparty_7,GRparty_8,GRparty_9,GRparty_First Click,GRparty_Last Click,GRparty_Page Submit,GRparty_Click Count,LOparty_1,LOparty_2,LOparty_3,LOparty_4,LOparty_5,LOparty_6,LOparty_7,LOparty_8,LOparty_9,LOtime_First Click,LOtime_Last Click,LOtime_Page Submit,LOtime_Click Count,manipulation_1,manipulation_2,manipulation_3,manipulation_4,manipulation_5,manipulation_6,manipulation_7,manipulation_DO_1,manipulation_DO_2,manipulation_DO_3,manipulation_DO_4,manipulation_DO_5,manipulation_DO_6,manipulation_DO_7,LRCtrl_1,LRCtrl_2,LRCtrl_3,LRCtrl_4,LRCtrl_5,LRCtrl_6,LRCtrl_7,LRCtrl_8,LRCtrl_9,LRCtrl_time_First Click,LRCtrl_time_Last Click,LRCtrl_time_Page Submit,LRCtrl_time_Click Count,RFCtrl_1,RFCtrl_2,RFCtrl_3,RFCtrl_4,RFCtrl_5,RFCtrl_6,RFCtrl_7,RFCtrl_8,RFCtrl_9,RFCtrl_time_First Click,RFCtrl_time_Last Click,RFCtrl_time_Page Submit,RFCtrl_time_Click Count,PSCtrl_1,PSCtrl_2,PSCtrl_3,PSCtrl_4,PSCtrl_5,PSCtrl_6,PSCtrl_7,PSCtrl_8,PSCtrl_9,PSCtrl_time_First Click,PSCtrl_time_Last Click,PSCtrl_time_Page Submit,PSCtrl_time_Click Count,GRCtrl_1,GRCtrl_2,GRCtrl_3,GRCtrl_4,GRCtrl_5,GRCtrl_6,GRCtrl_7,GRCtrl_8,GRCtrl_9,GRCtrl_time_First Click,GRCtrl_time_Last Click,GRCtrl_time_Page Submit,GRCtrl_time_Click Count,LOCtrl_1,LOCtrl_2,LOCtrl_3,LOCtrl_4,LOCtrl_5,LOCtrl_6,LOCtrl_7,LOCtrl_8,LOCtrl_9,LOCtrl_time_First Click,LOCtrl_time_Last Click,LOCtrl_time_Page Submit,LOCtrl_time_Click Count,prime,integration,interior,environment,justice,leftCtrl,leftCtrl_time_First Click,leftCtrl_time_Last Click,leftCtrl_time_Page Submit,leftCtrl_time_Click Count,rightCtrl,rightCtrl_time_First Click,rightCtrl_time_Last Click,rightCtrl_time_Page Submit,rightCtrl_time_Click Count,leftTreat,leftTreat_time_First Click,leftTreat_time_Last Click,leftTreat_time_Page Submit,leftTreat_time_Click Count,rightTreat,rightTreat_time_First Click,rightTreat_time_Last Click,rightTreat_time_Page Submit,rightTreat_time_Click Count,know1,know1_DO_1,know1_DO_2,know1_DO_3,know1_DO_4,know1_DO_5,know2,attention2,attention2_DO_1,attention2_DO_2,attention2_DO_3,attention2_DO_4,attention2_DO_5,know3,know3_DO_1,know3_DO_2,know3_DO_3,know3_DO_4,know3_DO_5,rid,Q_TotalDuration,exp1,party,exp2,direction,FL_32_DO_FL_34,FL_32_DO_FL_36,FL_32_DO_FL_104,FL_32_DO_FL_105,FL_32_DO_FL_106,FL_39_DO_FL_44,FL_39_DO_FL_107,FL_39_DO_FL_108,FL_39_DO_FL_109,FL_101_DO_Experiment1-Refugees,FL_101_DO_Experiment1-PublicSector,FL_101_DO_Experiment1-Environment,FL_101_DO_Experiment1-LawandOrder,FL_102_DO_Experiment1-RefugeesControl,FL_102_DO_Experiment1-PublicSectorControl,FL_102_DO_Experiment1-EnvironmentControl,FL_102_DO_Experiment1-LawandOrderControl,FL_62_DO_FL_63,FL_62_DO_FL_103,FL_62_DO_FL_110,FL_64_DO_FL_65,FL_64_DO_FL_111,PoliticalAttitudes_DO_LOself,PoliticalAttitudes_DO_GRself,PoliticalAttitudes_DO_RFself,PoliticalAttitudes_DO_LRself,PoliticalAttitudes_DO_PSself
2018-04-06 18:11:17,2018-04-06 18:14:17,0,100,179,1,2018-04-06 18:14:18,R_vdUcfPfcj03sL6x,anonymous,EN,1,1,42,6,NA,4,5,8,12,10,1,8,12,4,12,12,12,12,12,12,12,12,12,6.458,10.948,12.563,9,12,12,12,12,12,12,12,12,12,1.21,5.277,6.453,9,12,12,12,12,12,12,12,12,12,1.958,6.568,7.356,10,12,12,12,12,12,12,12,12,12,1.903,4.869,5.896,9,12,12,12,12,12,12,12,12,12,1.176,4.356,5.55,10,NA,1,NA,NA,1,NA,NA,2,1,5,3,4,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,9.265,9.265,10.195,1,NA,NA,NA,NA,NA,5,3,1,4,2,5,Aner det ikke.,2,2,3,4,1,5,5,2,1,4,3,5,5AC7F079-0009-4BD7-84B5-86BD847887D3,179,allerede har dannet,Radikale Venstre,paa ingen maade oensker,1,NA,1,NA,NA,NA,4,2,3,1,2,1,4,3,NA,NA,NA,NA,NA,NA,1,1,NA,3,2,5,1,4
2018-04-06 18:16:33,2018-04-06 18:18:36,0,100,123,1,2018-04-06 18:18:37,R_2ARrRDXgWcb6CUE,anonymous,EN,1,1,39,6,NA,2,3,4,3,3,7,5,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,7,8,8,8,9,7,9,1.09,7.214,8.405,9,6,7,6,4,5,5,6,5,5,1.108,4.968,5.768,10,5,6,5,4,4,4,5,3,6,1.369,5.045,5.867,9,6,7,6,6,5,4,4,4,4,1.123,4.448,5.79,11,10,7,6,8,9,7,8,8,8,3.352,8.185,8.896,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.236,1.917,2.328,2,4,2,4,1,3,5,91,4,4,1,3,2,5,3,3,4,2,1,5,5AC7F1A8-4F48-4A0E-A080-5B48AB2D02A2,123,control,Alternativet,har et klart oenske om,2,1,NA,NA,NA,NA,2,3,1,4,NA,NA,NA,NA,2,1,3,4,NA,1,NA,NA,1,5,3,2,1,4
2018-04-06 18:16:07,2018-04-06 18:18:45,0,100,157,1,2018-04-06 18:18:46,R_XTdQyW4QYgfRFD3,anonymous,DA,1,1,38,4,NA,1,7,4,9,11,11,9,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,9,8,7,9,6,8,8,1.623,8.291,8.651,12,10,6,5,11,9,7,8,5,8,1.698,5.979,7.089,11,10,10,8,4,9,6,6,8,4,0.992,10.156,11.457,14,10,5,8,10,7,7,7,6,10,2.07,6.899,7.195,11,3,9,10,7,9,3,6,5,8,1.603,6.447,9.043,15,NA,NA,NA,NA,NA,10,1.587,1.587,2.578,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,2,1,5,50000,2,1,4,3,2,5,2,2,3,1,4,5,5AC7F18B-92CC-4B88-BCA4-E77D4DF54AB6,157,control,Dansk Folkeparti,control,1,1,NA,NA,NA,NA,1,3,4,2,NA,NA,NA,NA,1,4,3,2,1,NA,NA,1,NA,5,4,3,1,2
2018-04-06 18:15:58,2018-04-06 18:20:06,0,100,247,1,2018-04-06 18:20:06,R_r2BKkVnDWG1Z4qt,anonymous,DA,1,1,53,6,NA,1,8,8,1,6,1,5,5,1,1,7,5,7,7,8,1,7,1,11.507,47.629,49.676,9,6,6,6,6,5,7,7,5,5,2.839,7.517,8.761,9,6,5,6,5,4,4,4,7,7,2.546,7.448,9.052,9,6,5,6,5,6,7,7,7,6,2.821,7.763,9.329,9,6,5,6,6,7,7,7,6,1,2.431,8.294,9.47,9,NA,1,NA,NA,1,NA,NA,2,6,4,5,1,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,16.561,16.561,20.344,1,2,2,3,4,1,5,175,2,2,4,1,3,5,1,3,4,1,2,5,5AC7F18D-046B-4D5E-94A2-1C8CAC0AA5DF,247,umuligt kan danne,Dansk Folkeparti,paa ingen maade oensker,2,NA,NA,NA,1,NA,1,3,4,2,3,4,1,2,NA,NA,NA,NA,NA,NA,1,NA,1,4,5,3,1,2
2018-04-06 18:15:19,2018-04-06 18:23:36,0,100,497,1,2018-04-06 18:23:36,R_3qezXTjmLymvwJL,anonymous,EN,1,2,34,11,NA,3,3,2,10,12,11,10,11,11,1,1,1,1,1,1,1,1,1,29.457,41.921,48.155,12,1,1,1,1,1,1,1,1,1,5.426,10.27,11.229,9,1,1,1,1,1,1,1,1,1,12.012,17.349,18.126,9,1,1,1,1,1,1,1,1,1,4.658,8.435,9.315,9,1,2,3,1,1,1,1,1,2,11.043,17.606,20.774,10,1,1,NA,NA,NA,NA,NA,2,3,5,6,4,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,4,10,22.583,22.583,23.631,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,4,3,5,175,2,3,4,2,1,5,1,3,2,1,4,5,5AC7F164-CAD7-45CC-9912-786023DCB1A6,497,allerede har dannet,Radikale Venstre,control,1,NA,1,NA,NA,NA,4,3,2,1,3,1,2,4,NA,NA,NA,NA,1,NA,NA,1,NA,3,5,2,1,4
2018-04-06 18:29:33,2018-04-06 18:31:57,0,100,143,1,2018-04-06 18:31:57,R_yq2HUDmsYxAHDoJ,anonymous,DA,1,1,30,10,NA,1,3,5,2,7,5,7,5,7,2,3,4,5,6,7,8,9,10,4.242,10.083,11.181,9,2,3,4,5,6,7,8,9,10,1.853,6.956,8.364,10,2,3,4,5,6,7,8,9,10,2.133,7.177,7.579,12,2,3,4,5,6,7,8,9,10,2.665,7.122,8.219,10,2,3,4,5,6,7,8,9,10,2.313,7.397,7.771,11,NA,1,NA,1,NA,1,NA,6,2,3,1,5,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.685,2.425,3.318,2,NA,NA,NA,NA,NA,1,3,2,4,1,5,179,4,3,4,1,2,5,3,2,4,1,3,5,5AC7F4C2-69FD-4521-B724-7A0162CD160B,143,allerede har dannet,Dansk Folkeparti,har et klart oenske om,1,NA,NA,1,NA,NA,2,3,4,1,3,1,4,2,NA,NA,NA,NA,NA,1,NA,1,NA,2,4,5,1,3
2018-04-06 18:21:06,2018-04-06 18:33:05,0,100,718,1,2018-04-06 18:33:05,R_279TKL9bzoUEgfQ,anonymous,DA,1,1,36,9,NA,2,8,1,7,2,10,11,8,10,9,11,6,8,6,3,1,10,6,67.463,106.931,108.395,12,10,11,4,11,3,7,1,10,7,39.021,62.292,63.937,11,1,1,5,3,7,6,11,1,4,10.124,52.014,54.172,15,1,1,10,1,11,3,11,2,6,15.949,49.902,51.19,11,1,1,7,1,10,2,10,1,10,16.71,39.19,40.897,12,1,NA,NA,NA,NA,NA,NA,2,6,3,4,5,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,57.12,58.078,59.616,2,2,3,2,1,4,5,175,2,1,3,4,2,5,2,3,4,2,1,5,5AC7F2BD-28A1-4F5D-A3D0-BD17934DA581,718,umuligt kan danne,Alternativet,paa ingen maade oensker,2,NA,NA,NA,NA,1,2,3,1,4,1,2,3,4,NA,NA,NA,NA,NA,NA,1,NA,1,5,4,3,1,2
2018-04-06 18:30:13,2018-04-06 18:40:58,0,100,644,1,2018-04-06 18:40:58,R_11jTLFkoRYaGie3,anonymous,EN,1,2,28,9,NA,2,6,5,2,9,9,7,8,10,4,10,5,6,7,4,9,8,3,20.425,55.91,57.721,14,5,4,7,6,6,7,10,8,8,7.168,28.566,29.837,11,4,7,6,5,5,7,8,9,4,7.706,39.198,41.013,14,4,6,6,4,5,6,10,11,8,8.463,41.324,42.867,13,8,7,8,6,8,5,8,4,5,7.939,44.55,45.686,12,NA,1,NA,NA,1,NA,NA,5,3,4,2,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8.297,11.128,12.385,2,4,3,1,4,2,5,179,2,1,3,4,2,5,1,1,4,2,3,5,5AC7F4A7-ABE5-451F-B1A6-32D69BECBA31,644,umuligt kan danne,Dansk Folkeparti,har et klart oenske om,2,NA,NA,NA,1,NA,1,2,4,3,3,2,1,4,NA,NA,NA,NA,NA,1,NA,NA,1,2,4,5,1,3
2018-04-06 18:38:49,2018-04-06 18:46:57,0,100,487,1,2018-04-06 18:46:57,R_1gdql918lgZ6veN,anonymous,EN,1,1,25,6,NA,3,1,4,4,7,11,7,11,7,3,9,4,11,9,9,9,6,9,5.484,47.429,48.074,22,6,7,5,8,11,4,11,4,9,6.401,28.28,28.769,17,5,5,5,11,9,7,5,11,11,1.999,26.642,27.657,13,5,9,9,8,11,7,10,10,7,1.531,30.909,31.81,22,8,8,6,11,11,8,11,7,10,1.361,35.934,36.582,17,1,1,NA,1,1,NA,NA,3,6,5,2,1,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.884,18.394,19.25,11,5,4,1,3,2,5,179,2,2,1,3,4,5,1,2,4,1,3,5,5AC7F6EC-ED11-483C-AD13-A985174A453B,487,umuligt kan danne,Alternativet,paa ingen maade oensker,2,NA,NA,NA,NA,1,3,1,2,4,2,3,1,4,NA,NA,NA,NA,NA,NA,1,NA,1,3,2,5,1,4
2018-04-06 18:54:19,2018-04-06 19:02:02,0,100,463,1,2018-04-06 19:02:03,R_2WZm06GqcXopJGA,anonymous,DA,1,1,44,9,NA,3,3,2,6,4,5,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6,5,11,5,3,4,4,2,9.217,31.538,33.093,9,5,5,5,1,5,6,5,5,6,23.018,38.267,40.33,10,8,6,6,10,6,5,5,6,4,25.367,46.372,48.245,9,5,5,5,4,5,7,5,5,5,18.704,29.572,31.474,9,5,5,5,4,5,6,5,5,5,6.478,18.075,19.723,9,NA,NA,NA,NA,NA,12,11.804,11.804,12.713,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,4,3,5,175,2,3,4,2,1,5,5,3,4,1,2,5,5AC7FA8B-622C-40F2-A7D8-8C2055A5484C,463,control,Dansk Folkeparti,control,1,1,NA,NA,NA,NA,1,2,4,3,NA,NA,NA,NA,3,1,2,4,1,NA,NA,1,NA,5,3,4,1,2
2018-04-06 18:54:05,2018-04-06 19:03:26,0,100,561,1,2018-04-06 19:03:27,R_07kqGF6MCSKyB0Z,anonymous,EN,1,2,31,11,NA,3,8,8,1,11,2,6,4,2,6,6,2,11,2,1,1,6,1,24.504,54.012,60.262,11,7,7,8,1,7,8,9,10,10,20.291,33.276,34.414,10,12,12,12,12,12,12,12,12,12,30.227,36.732,38.155,10,6,11,6,6,6,6,11,6,6,6.64,19.529,21.058,10,11,11,11,1,11,11,11,11,11,9.266,17.86,18.668,9,1,1,NA,NA,NA,NA,NA,5,1,4,3,6,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,18.803,18.803,53.184,1,1,3,1,4,2,5,4,2,1,2,3,4,5,4,3,1,2,4,5,5AC7FA44-38CC-4587-94CC-04ED9ABC747C,561,allerede har dannet,Dansk Folkeparti,har et klart oenske om,2,NA,NA,1,NA,NA,3,1,4,2,1,4,3,2,NA,NA,NA,NA,NA,1,NA,NA,1,3,2,4,1,5
