CaseID,weight,tm_start,tm_finish,duration,DOV_MANCHECK,XTESS171,XPARTY3,XPARTY7,xideo,XREL1,XREL2,XPCM0160,XPP10035,XPH1ANXI,Q1_Sentence1,Q1_Sentence2,Q1_Sentence3,Q1_Sentence4,Q1_Sentence5,Q1_Sentence6,Q1_Sentence1_Refused,Q1_Sentence2_Refused,Q1_Sentence3_Refused,Q1_Sentence4_Refused,Q1_Sentence5_Refused,Q1_Sentence6_Refused,Q2_Sentence1,Q2_Sentence2,Q2_Sentence3,Q2_Sentence4,Q2_Sentence5,Q2_Sentence6,Q2_Sentence1_Refused,Q2_Sentence2_Refused,Q2_Sentence3_Refused,Q2_Sentence4_Refused,Q2_Sentence5_Refused,Q2_Sentence6_Refused,Q3,Q4,Q5A_OptA_Genre,Q5A_OptB_Genre,Q5B_OptA_Genre,Q5B_OptB_Genre,Q5C_OptA_Genre,Q5C_OptB_Genre,Q5A_OptA_Topic,Q5A_OptB_Topic,Q5B_OptA_Topic,Q5B_OptB_Topic,Q5C_OptA_Topic,Q5C_OptB_Topic,Q5A_OptA_Style,Q5A_OptB_Style,Q5B_OptA_Style,Q5B_OptB_Style,Q5C_OptA_Style,Q5C_OptB_Style,Q5A_OptA_Medium,Q5A_OptB_Medium,Q5B_OptA_Medium,Q5B_OptB_Medium,Q5C_OptA_Medium,Q5C_OptB_Medium,Q5A_OptA_Length,Q5A_OptB_Length,Q5B_OptA_Length,Q5B_OptB_Length,Q5C_OptA_Length,Q5C_OptB_Length,Q5A,Q5B,Q5C,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,DOV_Q7Q8Q9_Order,Q7,Q8,Q9,ppage,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,PPREG4,pprent,ppstaten,PPT01,PPT25,PPT612,PPT1317,PPT18OV,ppwork,ppnet
2,1.4303,12dec2014 00:50:31,12dec2014 01:16:48,26,1,1,2,7,4,1,5,32,2,2,As I walked inside the monkeys house they were jumping from limb to limb.,The panda bears wasn't out.,"I was so nervous watching the snakes, I left that scene early.","Two of the tigers was playing so rough, I thought they'd kill each other.",To see the giraffe eat was so funny that I literally hurt my side from laughing,The smells from the elephants was to unbearable.,,,,,,,,,,,,,,,,,,,3,3,3,3,1,2,2,2,11,13,1,10,9,7,3,3,1,2,3,2,2,2,1,2,1,1,1,2,2,1,1,1,2,1,1,,,,,,,"Q8,Q9,Q7",2,3,3,41,5,1,2,1,0,3,1,4,4,1,3,2,58,0,0,0,0,3,6,1
3,.5239,12dec2014 00:50:34,12dec2014 00:57:15,6,2,1,1,2,3,11,5,1,4,2,My favorite part was the lions.,I loved watching the tigers interact with each other.,It was fun hearing the monkeys chatter.,The chimps were very human like.,It was strange to see raccoons at the park.,The peacocks walked among the people.,,,,,,,,,,,,,,,,,,,,,2,1,1,3,1,1,7,5,3,11,2,4,2,2,1,2,1,3,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,,,,,,,"Q7,Q8,Q9",3,4,4,62,10,3,1,2,1,5,2,12,3,1,3,1,59,0,1,0,0,4,1,1
5,.7063,12dec2014 00:54:48,12dec2014 01:03:35,8,2,1,1,3,7,2,6,32,4,2,i seen a lot of   bears,any plenty of monkeys,i seen plenty of cows,and a lot of rabbits,and some chickens,and rosters,,,,,,,,,,,,,,,,,,,,,1,2,2,3,3,2,4,9,8,12,13,9,1,3,1,1,2,1,2,1,2,1,2,1,2,2,2,2,1,1,1,2,1,,,,,,,"Q7,Q9,Q8",2,4,3,57,9,2,1,1,1,1,3,4,6,1,1,2,14,0,0,0,0,1,6,1
7,.9404,12dec2014 00:56:07,12dec2014 01:01:47,5,2,1,1,1,6,11,4,13,4,2,The baboons butts were bright red.,The lions were disappointing as usual. They were napping.,"In the rainforest, the bats flew way up high and were sleeping in some fruit trees.","At the safari area, the giraffes ate leaves off tall trees.",The boa constrictors hailed from Burmuda and had large glass enclosures.,The geese running loose were rather mean and chase my niece.,,,,,,,,,,,,,,,,,,,,,1,2,1,3,1,1,1,7,6,13,2,2,3,3,3,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,,,,,,,"Q9,Q8,Q7",2,3,3,28,12,4,1,2,1,3,3,12,1,1,4,3,86,1,0,0,0,2,1,1
8,1.0325,12dec2014 00:59:26,12dec2014 01:15:32,16,1,1,2,6,4,5,6,32,2,2,I saw the hippos in the water,the goats were eating food pellets in the kids area,the elephants were bathing each other,the monkey's were making loud noises when people walked passed them,the kangaroo wouldn't stop hopping,I avoid the snakes because I am scared of them,,,,,,,,,,,,,,,,,,,3,3,1,1,2,1,1,1,2,6,10,5,4,2,1,1,1,1,3,3,2,1,1,2,1,1,2,2,1,1,2,1,1,1,2,,,,,,,"Q7,Q9,Q8",3,3,3,29,11,3,1,1,0,5,2,16,5,1,1,1,23,0,0,0,0,5,7,1
9,.5522,12dec2014 01:01:44,12dec2014 01:11:40,9,2,1,2,6,4,12,2,32,3,2,"After buying bananas, I went and fed the monkeys.",The giraffe was sticking his head through the fence trying to get at some popcorn,The lions were sunning themselves and were not very active.,The camel spit a bunch of water at the kids,After we ate lunch we went to see the baby bears that were just born,My hands smelled of fish all day after feeding the otters,,,,,,,,,,,,,,,,,,,,,1,1,3,1,2,3,5,1,14,4,10,14,2,3,2,3,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,,,,,,,"Q7,Q9,Q8",2,4,3,69,10,3,1,2,1,1,2,14,3,1,4,1,93,0,0,0,0,1,5,1
10,.7373,12dec2014 01:04:45,14dec2014 22:36:33,4171,1,1,2,5,2,13,6,32,2,2,"I hate animal parks, especially the Ape enclosures. We shouldn't cage any animal for human amusment",This morning I saw 6Mule Deer in my front yard,I saw my first wild porcupine last month,My wife and I suprised a bobcat during our walk.,Cougars visited our backyard on a regular basis,Two bear were spotted eating cat food left on a neighbor's front porch,,,,,,,,,,,,,,,,,,,2,2,3,1,2,1,3,1,12,5,10,4,13,3,3,1,3,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,,,,,,,"Q7,Q9,Q8",1,3,3,58,13,4,1,1,1,2,1,15,1,1,4,1,92,0,0,0,0,2,5,1
11,.4878,12dec2014 01:06:05,12dec2014 01:09:30,3,2,1,1,3,5,3,5,8,2,2,The bear has brown fur.,The seal swims in the pond.,The polar bear dove into the cold water.,The tiger prowled back and forth in his cage.,The monkey laughed at those looking at him.,The lion growled.,,,,,,,,,,,,,,,,,,,,,2,2,1,2,3,2,9,8,1,10,13,9,1,2,1,2,1,1,2,2,1,1,2,1,1,1,2,2,2,1,1,1,2,,,,,,,"Q8,Q7,Q9",2,4,3,62,13,4,1,2,1,2,1,14,1,1,1,1,23,0,0,0,0,2,1,1
12,.9489,12dec2014 01:09:27,12dec2014 01:15:41,6,2,1,2,5,4,11,6,32,3,2,At the animal park I saw lions.,The animals all walked free there.,We stopped for lunch after seeing the elephants.,We rode a tram around the perimeter of the park.,They also had horses and cattle there.,The park was very hilly and had beautiful trees.,,,,,,,,,,,,,,,,,,,,,2,1,1,2,3,3,9,6,2,7,12,14,2,1,3,2,3,1,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,,,,,,,"Q8,Q9,Q7",3,5,4,66,9,2,1,1,1,2,2,13,1,1,1,1,16,0,0,0,0,2,6,1
13,.4172,12dec2014 01:10:45,12dec2014 01:22:24,11,2,1,1,2,6,1,1,32,2,2,I walked through a tunnel  to see the snakes.,I looked up and saw fish swimming in the aquarium.,I looked through the glass panes to watgh the monkeys swing from tree to tree.,I peered into a den to see the bears.,I walked down a long corridor to get to the giraffe enclosure.,I stood on a hill to see the african plains animals at a distance.,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,1,9,10,9,7,12,3,3,3,2,1,3,3,1,1,2,2,1,1,2,2,2,2,1,2,1,2,1,,,,,,,"Q8,Q7,Q9",1,2,2,72,12,4,1,1,1,2,1,15,1,0,3,1,74,0,0,0,0,2,5,1
